name,year_published,min_players,max_players,min_playtime,max_playtime,min_age,categories,mechanics,users_rated,average_rating,weight
Star Wars: Outer Rim,2019,1,4,120,180,14,"['Adventure', 'Exploration', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration']","['Dice Rolling', 'Die Icon Resolution', 'Modular Board', 'Pick-up and Deliver', 'Race', 'Solo / Solitaire Game', 'Trading', 'Variable Player Powers']",12853,7.73229,2.5613
Paleo,2020,1,4,45,60,10,"['Card Game', 'Exploration', 'Prehistoric']","['Action/Event', 'Cooperative Game', 'Memory', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Variable Set-up']",12797,7.68977,2.6348
Canvas,2021,1,5,30,30,10,"['Abstract Strategy', 'Card Game', 'Puzzle']","['Contracts', 'Hand Management', 'Increase Value of Unchosen Resources', 'Layering', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game']",12785,7.24939,1.6879
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,1,4,90,90,13,"['Adventure', 'Card Game', 'Fantasy', 'Fighting']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Move Through Deck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']",12767,7.1687,2.7172
Tales of the Arabian Nights,2009,1,6,120,120,12,"['Adventure', 'Arabian', 'Exploration', 'Fantasy', 'Travel']","['Dice Rolling', 'Narrative Choice / Paragraph', 'Point to Point Movement', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",12749,7.1653,2.1478
The Search for Planet X,2020,1,4,60,75,13,"['Deduction', 'Puzzle', 'Space Exploration']","['Action Points', 'Deduction', 'End Game Bonuses', 'Paper-and-Pencil', 'Solo / Solitaire Game', 'Turn Order: Time Track']",12722,7.94241,2.4152
Tainted Grail: The Fall of Avalon,2019,1,4,60,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Mature / Adult', 'Medieval', 'Miniatures', 'Mythology', 'Travel']","['Area Movement', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Map Addition', 'Modular Board', 'Narrative Choice / Paragraph', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",12680,8.08991,3.3546
The Red Cathedral,2020,1,4,80,80,10,"['Dice', 'Economic']","['Area Majority / Influence', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Rondel', 'Solo / Solitaire Game', 'Victory Points as a Resource']",12605,7.70184,2.8193
Century: Golem Edition,2017,2,5,30,45,8,"['Card Game', 'Economic', 'Fantasy']","['Action Retrieval', 'Contracts', 'Deck, Bag, and Pool Building', 'Hand Management', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection']",12534,7.59392,1.6932
Sleeping Gods,2021,1,4,60,1200,13,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Nautical']","['Action Points', 'Cooperative Game', 'Events', 'Hand Management', 'Narrative Choice / Paragraph', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling']",12537,8.19532,3.2423
Nations,2013,1,5,40,200,14,"['Card Game', 'Civilization', 'Economic']","['Events', 'Open Drafting', 'Variable Player Powers']",12329,7.60196,3.5463
Railways of the World,2005,2,6,120,120,10,"['Trains', 'Transportation', 'Video Game Theme']","['Action Points', 'Connections', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Loans', 'Network and Route Building', 'Open Drafting', 'Ownership', 'Pick-up and Deliver', 'Tile Placement', 'Turn Order: Auction']",12295,7.66966,3.0144
The Game,2015,1,5,20,20,8,"['Card Game', 'Number']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Solo / Solitaire Game']",12235,6.71281,1.237
Tobago,2009,2,4,60,60,10,"['Adventure', 'Deduction', 'Exploration']","['Deduction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Push Your Luck']",12219,7.09675,2.1281
Watergate,2019,2,2,30,60,12,"['Card Game', 'Political']","['Action/Event', 'Campaign / Battle Card Driven', 'Connections', 'Hand Management', 'Once-Per-Game Abilities', 'Take That', 'Tug of War']",12178,7.76948,2.2703
In the Year of the Dragon,2007,2,5,75,100,12,"['Economic', 'Medieval']","['Action Drafting', 'Events', 'Hand Management', 'Turn Order: Stat-Based', 'Variable Set-up']",12165,7.2983,3.0854
Roll Through the Ages: The Bronze Age,2008,1,4,30,45,8,"['Ancient', 'City Building', 'Civilization', 'Dice']","['Contracts', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Paper-and-Pencil', 'Push Your Luck', 'Re-rolling and Locking', 'Solo / Solitaire Game']",12162,6.85158,1.7818
Firefly: The Game,2013,1,4,120,240,13,"['Adventure', 'Exploration', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Travel']","['Area Movement', 'Dice Rolling', 'Open Drafting', 'Pick-up and Deliver', 'Solo / Solitaire Game', 'Take That', 'Trading', 'Variable Player Powers']",12130,7.38771,2.9553
Undaunted: Normandy,2019,2,2,45,60,14,"['Wargame', 'World War II']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Open Drafting', 'Simulation']",12067,7.79956,2.2452
Coimbra,2018,2,4,60,90,14,"['Dice', 'Renaissance']","['Action Drafting', 'Auction/Bidding', 'Dice Rolling', 'End Game Bonuses', 'Income', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up', 'Worker Placement with Dice Workers']",12052,7.61615,3.2558
Bananagrams,2006,1,8,15,15,7,"['Real-time', 'Word Game']","['Race', 'Real-Time', 'Spelling', 'Tile Placement']",11977,6.40297,1.2962
Mystic Vale,2016,2,4,45,45,14,"['Card Game', 'Fantasy']","['Deck, Bag, and Pool Building', 'Layering', 'Push Your Luck']",11962,7.2516,2.2541
Schotten Totten,1999,2,2,20,20,8,['Card Game'],"['Card Play Conflict Resolution', 'Hand Management', 'Melding and Splaying', 'Set Collection']",11877,7.35308,1.6952
The Werewolves of Miller's Hollow,2001,8,18,30,30,10,"['Bluffing', 'Deduction', 'Horror', 'Murder/Mystery', 'Party Game']","['Hidden Roles', 'Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers', 'Voting']",11870,6.68816,1.31
Glass Road,2013,1,4,20,80,13,"['City Building', 'Economic', 'Industry / Manufacturing', 'Medieval']","['Automatic Resource Growth', 'End Game Bonuses', 'Follow', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Progressive', 'Variable Set-up']",11839,7.43319,2.9567
Yokohama,2016,2,4,90,90,14,['Economic'],"['Contracts', 'End Game Bonuses', 'Grid Movement', 'Modular Board', 'Network and Route Building', 'Set Collection', 'Variable Set-up', 'Worker Placement', 'Worker Placement, Different Worker Types']",11831,7.8082,3.3024
Splendor Duel,2022,2,2,30,30,10,"['Card Game', 'Economic', 'Renaissance']","['Contracts', 'Open Drafting', 'Race', 'Set Collection']",11865,7.92699,1.9763
Descent: Journeys in the Dark,2005,2,5,120,240,13,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Team-Based Game', 'Variable Player Powers']",11800,7.27782,3.3432
Bruges,2013,2,4,60,60,13,"['Card Game', 'City Building', 'Economic', 'Renaissance']","['Dice Rolling', 'Hand Management', 'Multi-Use Cards']",11781,7.42612,2.7473
Wizard,1984,3,6,45,45,10,"['Card Game', 'Fantasy']","['Betting and Bluffing', 'Hand Management', 'Predictive Bid', 'Trick-taking']",11777,6.97581,1.7162
King of Tokyo: Power Up!,2012,2,6,30,30,8,"['Expansion for Base-game', 'Dice', 'Movies / TV / Radio theme', 'Science Fiction']","['Dice Rolling', 'Variable Player Powers']",11692,7.59354,1.7112
Celestia,2015,2,6,30,30,8,"['Adventure', 'Aviation / Flight', 'Card Game', 'Fantasy']","['Betting and Bluffing', 'Dice Rolling', 'Hidden Victory Points', 'Push Your Luck']",11664,6.93924,1.3272
Under Falling Skies,2020,1,1,20,40,12,"['Dice', 'Science Fiction']","['Dice Rolling', 'Modular Board', 'Once-Per-Game Abilities', 'Re-rolling and Locking', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Sudden Death Ending', 'Variable Set-up', 'Worker Placement', 'Worker Placement with Dice Workers']",11646,7.65096,2.3929
Burgle Bros.,2015,1,4,45,90,12,"['Exploration', 'Maze', 'Spies/Secret Agents']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Map Addition', 'Modular Board', 'Multiple Maps', 'Solo / Solitaire Game', 'Square Grid', 'Three Dimensional Movement', 'Variable Player Powers']",11610,7.4305,2.3042
Mission: Red Planet (Second Edition),2015,2,6,45,90,14,['Science Fiction'],"['Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Hand Management', 'Simultaneous Action Selection', 'Take That', 'Turn Order: Role Order']",11608,7.40366,2.2035
One Deck Dungeon,2016,1,2,30,45,14,"['Card Game', 'Dice', 'Fantasy', 'Print & Play']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Melding and Splaying', 'Move Through Deck', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']",11606,6.94371,2.0744
Monopoly Deal Card Game,2008,2,5,15,15,8,"['Card Game', 'Economic']","['Hand Management', 'Set Collection', 'Take That']",11575,6.30359,1.3204
Scythe: Invaders from Afar,2016,1,7,90,140,14,"['Economic', 'Expansion for Base-game', 'Territory Building']","['Area Majority / Influence', 'Solo / Solitaire Game']",11569,8.28223,3.4286
Goa: A New Expedition,2004,2,4,90,90,12,"['Economic', 'Farming', 'Nautical', 'Renaissance']","['Auction: Once Around', 'Auction/Bidding', 'Hand Management', 'Push Your Luck', 'Tech Trees / Tech Tracks']",11539,7.55699,3.3705
Exit: The Game – The Abandoned Cabin,2016,1,6,60,120,12,"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],11540,7.42233,2.5506
Chinatown,1999,3,5,60,60,12,"['City Building', 'Economic', 'Negotiation']","['Enclosure', 'Income', 'Investment', 'Negotiation', 'Set Collection', 'Tile Placement', 'Trading', 'Victory Points as a Resource']",11538,7.43166,2.2371
Las Vegas,2012,2,5,30,30,8,['Dice'],"['Area Majority / Influence', 'Dice Rolling']",11524,7.16808,1.1723
Lanterns: The Harvest Festival,2015,2,4,30,30,8,['Abstract Strategy'],"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']",11505,6.86514,1.5492
Blood Bowl: Team Manager – The Card Game,2011,2,4,60,120,14,"['Card Game', 'Fantasy', 'Fighting', 'Sports']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management', 'Open Drafting']",11482,7.3951,2.3449
Age of Steam,2002,1,6,120,120,13,"['Economic', 'Post-Napoleonic', 'Trains', 'Transportation']","['Auction/Bidding', 'Catch the Leader', 'Connections', 'Dice Rolling', 'Hexagon Grid', 'Loans', 'Network and Route Building', 'Pick-up and Deliver', 'Player Elimination', 'Scenario / Mission / Campaign Game', 'Selection Order Bid', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Auction', 'Victory Points as a Resource']",11460,7.84975,3.871
KeyForge: Call of the Archons,2018,2,2,15,45,14,"['Card Game', 'Collectible Components', 'Fantasy', 'Fighting']","['Hand Management', 'Take That']",11442,7.10139,2.4826
Western Legends,2018,2,6,60,90,14,"['Adventure', 'American West', 'Miniatures']","['Action Points', 'Area Movement', 'Betting and Bluffing', 'Card Play Conflict Resolution', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Pick-up and Deliver', 'Take That', 'Variable Player Powers']",11441,7.6086,2.8448
Pickomino,2005,2,7,20,20,8,"['Animals', 'Dice']","['Dice Rolling', 'Push Your Luck', 'Re-rolling and Locking', 'Take That']",11429,6.59161,1.1513
ICECOOL,2016,2,4,30,30,6,"['Action / Dexterity', 'Animals', ""Children's Game""]","['Area Movement', 'Flicking', 'Take That']",11370,6.78877,1.0571
Rhino Hero,2011,2,5,5,15,5,"['Action / Dexterity', 'Animals', ""Children's Game"", 'Party Game']","['Hand Management', 'Lose a Turn', 'Score-and-Reset Game', 'Stacking and Balancing']",11348,6.90597,1.0217
Lisboa,2017,1,4,60,120,12,"['City Building', 'Economic', 'Industry / Manufacturing', 'Political']","['Area Majority / Influence', 'Hand Management', 'Open Drafting', 'Solo / Solitaire Game', 'Tile Placement']",11312,8.18791,4.5792
Between Two Cities,2015,1,7,25,25,14,"['City Building', 'Negotiation']","['Closed Drafting', 'Highest-Lowest Scoring', 'Neighbor Scope', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tile Placement']",11291,6.97855,1.8207
At the Gates of Loyang,2009,1,4,60,120,10,"['Economic', 'Farming']","['Contracts', 'Income', 'Loans', 'Market', 'Open Drafting', 'Solo / Solitaire Game', 'Turn Order: Progressive']",11250,7.3567,3.1133
La Granja,2014,1,4,90,120,12,"['Economic', 'Farming']","['Area Majority / Influence', 'Automatic Resource Growth', 'Contracts', 'Dice Rolling', 'Hand Management', 'Hidden Victory Points', 'Income', 'Multi-Use Cards', 'Open Drafting', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers', 'Victory Points as a Resource']",11241,7.60614,3.5691
The Castles of Burgundy,2019,1,4,70,120,12,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Pattern Building', 'Set Collection', 'Solo / Solitaire Game', 'Team-Based Game', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up']",11252,8.4431,2.9229
My City,2020,2,4,30,30,10,['City Building'],"['Bingo', 'Catch the Leader', 'Grid Coverage', 'Legacy Game', 'Pattern Building', 'Scenario / Mission / Campaign Game', 'Tile Placement']",11220,7.63478,1.9749
Poker,1810,2,10,60,60,12,"['Bluffing', 'Card Game']","['Betting and Bluffing', 'Player Elimination', 'Set Collection']",11196,6.71369,2.4303
Ticket to Ride: USA 1910,2006,2,5,30,60,8,"['Expansion for Base-game', 'Trains']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Set Collection']",11185,7.99886,1.8938
Fields of Arle,2014,1,2,60,120,13,"['Economic', 'Farming', 'Industry / Manufacturing']","['Automatic Resource Growth', 'Highest-Lowest Scoring', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Turn Order: Progressive', 'Worker Placement']",11155,8.02975,3.842
Karuba,2015,2,4,30,40,8,"['Exploration', 'Puzzle']","['Bingo', 'Connections', 'Grid Movement', 'Network and Route Building', 'Simultaneous Action Selection', 'Tile Placement']",11130,7.16904,1.428
Axis & Allies,1981,2,5,180,180,12,"['Economic', 'Wargame', 'World War II']","['Area Movement', 'Dice Rolling', 'Minimap Resolution', 'Stat Check Resolution', 'Team-Based Game']",11123,6.57641,3.0381
Trickerion: Legends of Illusion,2015,2,4,60,180,14,['Post-Napoleonic'],"['Action Points', 'Action Queue', 'Catch the Leader', 'Dice Rolling', 'Simultaneous Action Selection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement', 'Worker Placement, Different Worker Types']",11111,7.97431,4.25
PitchCar,1995,2,8,30,30,6,"['Action / Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']","['Flicking', 'Modular Board', 'Race']",11098,7.26767,1.1248
Small World Underground,2011,2,5,30,90,8,"['Fantasy', 'Fighting', 'Territory Building']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'King of the Hill', 'Variable Player Powers']",11099,7.23139,2.592
Queendomino,2017,2,4,25,25,8,"['City Building', 'Fantasy', 'Medieval', 'Territory Building']","['Enclosure', 'Open Drafting', 'Tile Placement', 'Variable Phase Order']",11060,7.15375,2.0545
Ora et Labora,2011,1,4,60,180,13,"['City Building', 'Economic', 'Industry / Manufacturing', 'Medieval', 'Religious', 'Territory Building']","['Increase Value of Unchosen Resources', 'Modular Board', 'Network and Route Building', 'Worker Placement', 'Worker Placement, Different Worker Types']",11059,7.68323,3.8904
Furnace,2020,2,4,30,60,12,"['Card Game', 'Economic', 'Industry / Manufacturing', 'Post-Napoleonic']","['Action Queue', 'Auction Compensation', 'Auction: Fixed Placement', 'Auction: Multiple Lot', 'Auction/Bidding', 'Constrained Bidding', 'Open Drafting', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up']",11069,7.41437,2.3147
7 Wonders: Cities,2012,2,8,40,40,10,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']","['Closed Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Team-Based Game', 'Variable Player Powers']",11052,7.81055,2.3523
Summoner Wars: Master Set,2011,2,4,30,60,9,"['Card Game', 'Fantasy', 'Fighting']","['Deck Construction', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Stat Check Resolution', 'Variable Player Powers']",11034,7.48106,2.5245
Not Alone,2016,2,7,30,45,10,"['Bluffing', 'Card Game', 'Deduction', 'Science Fiction']","['Deck, Bag, and Pool Building', 'Hand Management', 'Hidden Movement', 'Race', 'Simultaneous Action Selection', 'Team-Based Game']",11030,6.97005,1.9825
Cacao,2015,2,4,45,45,8,"['Economic', 'Farming', 'Territory Building']","['Area Majority / Influence', 'Hand Management', 'Map Addition', 'Tile Placement']",11023,7.07602,1.8237
Battleship,1931,2,2,30,30,8,"[""Children's Game"", 'Nautical']","['Deduction', 'Paper-and-Pencil', 'Secret Unit Deployment']",11021,4.71984,1.2074
Marvel United,2020,1,4,40,40,14,"['Card Game', 'Comic Book / Strip', 'Fighting', 'Miniatures']","['Cooperative Game', 'Hand Management', 'Modular Board', 'Solo / Solitaire Game', 'Variable Player Powers']",11035,7.57893,1.8132
Terraforming Mars: Hellas & Elysium,2017,1,5,90,120,12,"['Expansion for Base-game', 'Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Territory Building']","['Hand Management', 'Open Drafting', 'Tile Placement', 'Variable Player Powers']",11007,8.38143,2.7871
Euphoria: Build a Better Dystopia,2013,2,6,60,60,13,['Science Fiction'],"['Dice Rolling', 'Hand Management', 'Race', 'Set Collection', 'Trading', 'Variable Player Powers', 'Worker Placement', 'Worker Placement with Dice Workers']",10975,7.17786,3.1167
Iberia,2016,2,5,45,45,8,"['Medical', 'Post-Napoleonic', 'Trains']","['Action Points', 'Cooperative Game', 'Hand Management', 'Network and Route Building', 'Point to Point Movement', 'Set Collection', 'Solo / Solitaire Game', 'Trading', 'Variable Player Powers']",10966,7.88543,2.5902
Paperback,2014,2,5,45,45,8,"['Card Game', 'Print & Play', 'Word Game']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Open Drafting', 'Spelling']",10944,7.11766,1.9966
Sprawlopolis,2018,1,4,15,20,8,"['Card Game', 'City Building', 'Territory Building']","['Closed Drafting', 'Cooperative Game', 'Hand Management', 'Layering', 'Solo / Solitaire Game', 'Tile Placement']",10953,7.31382,1.8248
Meadow,2021,1,4,60,90,10,"['Animals', 'Card Game', 'Environmental']","['Hand Management', 'Layering', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Worker Placement, Different Worker Types']",10902,7.74246,2.2561
Radlands,2021,2,2,20,40,14,"['Card Game', 'Fighting', 'Science Fiction']","['Action Points', 'Action Queue', 'Hand Management', 'Take That', 'Variable Player Powers']",10867,7.83494,2.2459
Carcassonne: The River,2001,2,5,30,45,8,"['City Building', 'Expansion for Base-game', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Tile Placement']",10821,7.02428,1.6937
Mascarade,2013,2,13,30,30,10,"['Bluffing', 'Card Game', 'Medieval', 'Party Game']","['Hidden Roles', 'Memory', 'Variable Player Powers']",10821,6.56516,1.5271
Skull King,2013,2,8,30,30,8,"['Card Game', 'Nautical', 'Pirates']","['Hand Management', 'Predictive Bid', 'Rock-Paper-Scissors', 'Trick-taking']",10773,7.53441,1.7073
Pandemic: The Cure,2014,2,5,30,30,8,"['Dice', 'Environmental', 'Medical']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Push Your Luck', 'Re-rolling and Locking', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",10753,7.24005,2.0602
War of the Ring,2004,2,4,120,120,12,"['Adventure', 'Fantasy', 'Fighting', 'Novel-based', 'Territory Building', 'Wargame']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management']",10732,7.77813,3.8456
Sequence,1982,2,12,10,30,7,"['Abstract Strategy', 'Card Game']","['Hand Management', 'Pattern Building', 'Take That', 'Team-Based Game']",10719,6.12909,1.3189
Sea Salt & Paper,2022,2,4,30,45,8,"['Animals', 'Card Game', 'Nautical']","['Hand Management', 'Open Drafting', 'Push Your Luck', 'Set Collection']",10782,7.48849,1.4321
Detective: A Modern Crime Board Game,2018,1,5,120,180,16,"['Deduction', 'Murder/Mystery']","['Cooperative Game', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']",10697,7.65247,2.7368
A Game of Thrones,2003,3,5,180,180,12,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']","['Area Movement', 'Auction/Bidding', 'Events', 'Hand Management', 'Memory', 'Order Counters', 'Player Elimination', 'Simultaneous Action Selection', 'Variable Player Powers']",10621,7.16931,3.45
7 Wonders: Architects,2021,2,7,25,25,8,['Ancient'],"['Open Drafting', 'Set Collection', 'Variable Player Powers']",10629,7.04174,1.3536
Love Letter,2019,2,6,20,20,10,"['Card Game', 'Deduction', 'Renaissance']","['Deduction', 'Hand Management', 'Player Elimination', 'Score-and-Reset Game', 'Take That']",10640,7.51652,1.1126
Phase 10,1982,2,6,45,45,8,['Card Game'],"['Melding and Splaying', 'Set Collection']",10623,5.22209,1.2636
Thunderstone,2009,1,5,60,60,12,"['Card Game', 'Fantasy', 'Fighting']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting']",10595,6.90862,2.5055
K2,2010,1,5,60,60,8,"['Exploration', 'Sports']","['Hand Management', 'Player Elimination', 'Point to Point Movement', 'Simultaneous Action Selection', 'Solo / Solitaire Game']",10600,7.01073,2.2496
Wingspan: Oceania Expansion,2020,1,5,40,70,10,"['Animals', 'Economic', 'Educational', 'Expansion for Base-game']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Open Drafting', 'Set Collection']",10599,8.46719,2.6731
Scattergories,1988,2,6,30,30,12,"['Party Game', 'Real-time', 'Word Game']","['Dice Rolling', 'Paper-and-Pencil']",10579,6.27289,1.3586
KLASK,2014,2,2,10,10,8,"['Action / Dexterity', 'Real-time']","['Real-Time', 'Score-and-Reset Game']",10572,7.6337,1.0545
Broom Service,2015,2,5,30,75,10,['Fantasy'],"['Area Movement', 'Follow', 'Hand Management', 'Pick-up and Deliver', 'Set Collection', 'Simultaneous Action Selection', 'Variable Phase Order']",10533,7.16269,2.4056
Last Will,2011,2,5,45,75,14,"['Card Game', 'Economic', 'Humor']","['Action Points', 'Hand Management', 'Victory Points as a Resource', 'Worker Placement']",10519,7.16983,2.7152
Discworld: Ankh-Morpork,2011,2,4,60,60,11,"['Bluffing', 'Card Game', 'City Building', 'Deduction', 'Fantasy', 'Novel-based']","['Area Majority / Influence', 'Dice Rolling', 'Events', 'Hand Management', 'Hidden Roles', 'Interrupts', 'Roles with Asymmetric Information', 'Sudden Death Ending', 'Take That']",10520,7.24876,2.2067
Eminent Domain,2011,2,4,45,45,10,"['Card Game', 'Civilization', 'Science Fiction', 'Space Exploration']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Follow', 'Hand Management', 'Income', 'Layering', 'Market', 'Open Drafting', 'Tags', 'Variable Phase Order']",10514,6.98011,2.5073
Onirim (Second Edition),2014,1,2,15,15,10,"['Card Game', 'Exploration', 'Fantasy']","['Cooperative Game', 'Hand Management', 'Move Through Deck', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game']",10511,7.0463,1.6
Near and Far,2017,2,4,90,120,13,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Dice Rolling', 'Multiple Maps', 'Narrative Choice / Paragraph', 'Network and Route Building', 'Open Drafting', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Storytelling', 'Variable Player Powers', 'Worker Placement']",10507,7.67651,2.8852
Arcadia Quest,2014,2,4,60,60,13,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Retrieval', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Square Grid', 'Take That', 'Variable Player Powers']",10504,7.60544,2.5369
Dominion (Second Edition),2016,2,4,30,30,14,"['Card Game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting', 'Take That', 'Variable Set-up']",10428,7.835,2.1556
Reign of Cthulhu,2016,2,4,40,40,14,"['Horror', 'Novel-based']","['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']",10389,7.36326,2.1571
Viticulture: Tuscany Essential Edition,2016,1,6,60,150,14,"['Expansion for Base-game', 'Farming']","['Advantage Token', 'Race', 'Variable Player Powers', 'Worker Placement']",10386,8.55581,3.2667
War Chest,2018,2,4,30,30,14,"['Abstract Strategy', 'Medieval', 'Wargame']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Team-Based Game', 'Turn Order: Claim Action', 'Variable Player Powers']",10346,7.84145,2.3016
Age of Empires III: The Age of Discovery,2007,2,5,90,120,10,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']","['Area Majority / Influence', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']",10330,7.50881,3.1238
Raptor,2015,2,2,30,30,9,"['Animals', 'Fighting', 'Science Fiction']","['Action Points', 'Action Retrieval', 'Grid Movement', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Take That', 'Variable Player Powers']",10315,7.23759,2.0675
Bora Bora,2013,2,4,60,120,12,['Dice'],"['Dice Rolling', 'Set Collection', 'Worker Placement', 'Worker Placement with Dice Workers']",10309,7.55572,3.7283
Condottiere,1995,2,6,20,45,10,"['Bluffing', 'Card Game', 'Medieval', 'Negotiation']","['Area Majority / Influence', 'Auction/Bidding', 'Constrained Bidding', 'Hand Management']",10291,6.87655,1.9591
Steam,2009,3,5,90,90,10,"['Economic', 'Trains', 'Transportation']","['Auction/Bidding', 'Loans', 'Network and Route Building', 'Ownership', 'Pick-up and Deliver', 'Tile Placement']",10266,7.551,3.4551
Cribbage,1630,2,6,30,30,10,['Card Game'],['Hand Management'],10220,7.09658,1.9032
Exploding Kittens: NSFW Deck,2015,2,5,10,20,18,"['Animals', 'Card Game', 'Comic Book / Strip', 'Humor', 'Mature / Adult']","['Hand Management', 'Player Elimination', 'Push Your Luck', 'Set Collection', 'Take That']",10218,6.2364,1.0658
